image_path,true_label,predicted_label,confidence,normalized_true,correct,void_score,uncertainty_score,density_score,outlier_score,dominant_component,LID,void_norm,bonus,LID_norm,w_final,aug_times,image_idx,filename
Tomato___Bacterial_spot/1.jpg,Tomato___Bacterial_spot,Tomato_Bacterial_spot,0.5017,Tomato_Bacterial_spot,True,2.32450594797381,0.6039983900270942,0.3516557489157281,0.4897244819761154,uncertainty_score,16.423697899773874,0.5427053448318591,0.5,0.159960777520549,2.825351855944542,6,1,1.jpg
Tomato___Bacterial_spot/2.jpg,Tomato___Bacterial_spot,Tomato_Tomato_yellow_Leaf_Curl_Virus,0.2606,Tomato_Bacterial_spot,False,2.634871090522449,0.9068496780534492,0.3004598576081279,0.6159625542880227,uncertainty_score,27.849660322534124,0.8640160865817872,0.5,0.312048501522812,3.696104925447792,12,2,2.jpg
Tomato___Bacterial_spot/3.jpg,Tomato___Bacterial_spot,Tomato_Bacterial_spot,0.7059,Tomato_Bacterial_spot,True,1.9375376602536245,0.346787410201042,0.3650160877366455,0.5313285475220682,outlier_score,35.59653454499451,0.1420899067061461,0.7,0.415164932772301,2.606927212570744,3,3,3.jpg
Tomato___Bacterial_spot/4.jpg,Tomato___Bacterial_spot,Tomato_Early_blight,0.3883,Tomato_Bacterial_spot,False,2.4236254916489823,0.7535515575202132,0.1508290045433221,0.223831324458503,uncertainty_score,30.89921056911995,0.6453205220346048,0.5,0.3526401942899702,3.319601335504165,12,4,4.jpg
Tomato___Bacterial_spot/5.jpg,Tomato___Bacterial_spot,Tomato_Bacterial_spot,0.7095,Tomato_Bacterial_spot,True,2.1118471302391977,0.3511574950009779,0.4773128352681901,0.4072731210298315,density_score,23.35714628032541,0.322546721653798,1.2,0.2522499295997414,3.2234683377072084,12,5,5.jpg
Tomato___Bacterial_spot/6.jpg,Tomato___Bacterial_spot,Tomato_Bacterial_spot,0.2299,Tomato_Bacterial_spot,True,2.542653252561193,0.9406400447730304,0.2309991229199502,0.3991040470542643,uncertainty_score,18.36354378856597,0.7685460164747283,0.5,0.1857815123720702,3.315764301507562,12,6,6.jpg
Tomato___Bacterial_spot/7.jpg,Tomato___Bacterial_spot,Tomato_Leaf_Mold,0.2672,Tomato_Bacterial_spot,False,2.5119105979627694,0.8956719379461408,0.2107409387083294,0.4992749020293691,uncertainty_score,16.95076150360995,0.7367191654589662,0.5,0.1669763706886293,3.223902886950877,12,7,7.jpg
Tomato___Bacterial_spot/8.jpg,Tomato___Bacterial_spot,Tomato_Bacterial_spot,0.6662,Tomato_Bacterial_spot,True,1.8066742679427668,0.4078675122645161,0.2218318067510506,0.3811735582359832,uncertainty_score,21.18533030992814,0.006611375496012,0.5,0.2233415072132365,1.8482350118118789,0,8,8.jpg
Tomato___Bacterial_spot/9.jpg,Tomato___Bacterial_spot,Tomato_Bacterial_spot,0.6554,Tomato_Bacterial_spot,True,1.875858829832221,0.4096625123483843,0.2586381561468407,0.4302950878599241,outlier_score,11.707104643251093,0.0782358585671436,0.7,0.0971795511443747,2.0022410438508493,0,9,9.jpg
Tomato___Bacterial_spot/10.jpg,Tomato___Bacterial_spot,Tomato_Early_blight,0.4203,Tomato_Bacterial_spot,False,2.4494828752539703,0.7108203287823593,0.3146760713632172,0.4733505303608762,uncertainty_score,24.378303800858347,0.6720898139647676,0.5,0.2658422658423572,3.242943026693071,12,10,10.jpg
