image_path,true_label,predicted_label,confidence,normalized_true,correct,void_score,uncertainty_score,density_score,outlier_score,dominant_component,LID,void_norm,bonus,LID_norm,w_final,w_norm,aug_times
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/1e5ba644-efeb-4bd3-b878-a0606cf8a992___RS_Late.B 6272_aug_001.jpg,Tomato___Late_blight,Tomato_Leaf_Mold,0.324,Tomato_Late_blight,False,2.508128087536096,0.8239167135330755,0.2843032071953738,0.5393105936623801,uncertainty_score,26.622787211863407,0.7328032578254895,0.5,0.295717943786179,3.409183431330248,0.7976275457283031,10
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/1e5ba644-efeb-4bd3-b878-a0606cf8a992___RS_Late.B 6272_aug_002.jpg,Tomato___Late_blight,Tomato_Late_blight,0.7972,Tomato_Late_blight,True,1.9801812768975564,0.2320528255549134,0.4034420093019039,0.3845899454109973,density_score,29.931454255694685,0.18623742914454,1.2,0.3397586662705464,3.0821128576948995,0.6720321891304852,9
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/1e5ba644-efeb-4bd3-b878-a0606cf8a992___RS_Late.B 6272_aug_003.jpg,Tomato___Late_blight,Tomato_Late_blight,0.8382,Tomato_Late_blight,True,1.8243640215080144,0.1895487428016558,0.2598561667233987,0.2772081996431446,outlier_score,29.293464552252463,0.0249249908483945,0.7,0.3312665674570474,2.2467498328823603,0.2782145660065324,4
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/1e5ba644-efeb-4bd3-b878-a0606cf8a992___RS_Late.B 6272_aug_005.jpg,Tomato___Late_blight,Tomato_Early_blight,0.3617,Tomato_Late_blight,False,2.5221485584453047,0.7862283621097148,0.3888194356480203,0.3498354866153165,uncertainty_score,47.79286018019236,0.7473181865012031,0.5,0.5775067415771992,3.8608964853682046,0.9067817292480364,11
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/1a895389-ec7f-4622-afaf-9afe6c16a26a___RS_Late.B 5172_aug_003.jpg,Tomato___Late_blight,Tomato_Late_blight,0.9511,Tomato_Late_blight,True,1.85064525184062,0.0459771847597606,0.8085566736327653,0.711459939180801,density_score,36.13941674862021,0.0521330772427835,1.2,0.4223910828063932,2.9378527786951567,0.6056039497131879,8
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/1a895389-ec7f-4622-afaf-9afe6c16a26a___RS_Late.B 5172_aug_005.jpg,Tomato___Late_blight,Tomato_Late_blight,0.5387,Tomato_Late_blight,True,2.2155860411128128,0.5546005670373639,0.1965962256265568,0.0866835781347603,uncertainty_score,45.05710802209165,0.4299441765593766,0.5,0.5410919255848933,3.171526241496093,0.7101715864618068,9
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/0fca6d09-1931-4767-a195-1dd2b7cd10b7___GHLB Leaf 8 Day 12_aug_001.jpg,Tomato___Late_blight,Tomato_Leaf_Mold,0.3105,Tomato_Late_blight,False,2.607887830655085,0.8460613780372002,0.2711315479933188,0.4119206544046364,uncertainty_score,33.4428389545523,0.8360812122862464,0.5,0.3864977055904933,3.751908982958233,0.8866513151027301,11
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/0fca6d09-1931-4767-a195-1dd2b7cd10b7___GHLB Leaf 8 Day 12_aug_002.jpg,Tomato___Late_blight,Tomato_Late_blight,0.3868,Tomato_Late_blight,True,2.489486621823657,0.7402012998159261,0.3736892866688713,0.3812865001648912,uncertainty_score,29.9050617677496,0.7135043664416707,0.5,0.3394073633978598,3.436119777980131,0.8061842914956584,10
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/0fca6d09-1931-4767-a195-1dd2b7cd10b7___GHLB Leaf 8 Day 12_aug_003.jpg,Tomato___Late_blight,Tomato_Late_blight,0.3379,Tomato_Late_blight,True,2.448003528756108,0.800106656640913,0.2099215495857218,0.3193370011133917,uncertainty_score,27.85398327395117,0.6705582955840952,0.5,0.3121060430950372,3.309275655810746,0.7634551175599787,10
/home/sinan/Masaüstü/augment_script/high_void_imgs_clean/Tomato___Late_blight/0fca6d09-1931-4767-a195-1dd2b7cd10b7___GHLB Leaf 8 Day 12_aug_004.jpg,Tomato___Late_blight,Tomato_Early_blight,0.4948,Tomato_Late_blight,False,2.251607519707286,0.6149655361018395,0.2336335330940022,0.1921581548078099,uncertainty_score,25.022333395095632,0.4672360190358735,0.5,0.2744147599180017,2.84609417794875,0.5610324893450517,7
